layer_id,server,type,number,name,offsetX,offsetY,symbol,insert
68,31,point,0,C_SWD_EX PIT,115.8481299397865,-31.96576487741475,,
67,30,polyline,0,C_SWD_EX STORMWATER DRAINAGE,115.84891485264751,-31.96576487703375,maintenance_hole,C_SWD PIT
66,29,polyline,0,1m_CONTOURS,151.2038397909985,-33.8892883241928,,
65,28,point,0,C_SWD_EX PIT,151.204016210157,-33.888338355636,maintenance_hole,C_SWD PIT
64,27,polyline,0,C_SWD_EX STORMWATER DRAINAGE,151.204013546416,-33.88845766691915,,
63,12,polygon,15,C_BDY,149.80753999669452,-32.8254765159128,,
62,17,polyline,45,C_SEW_EX SERVICE,151.387681714425,-27.5006036324496,,
61,17,polyline,44,C_SEW_EX RISING MAIN,151.387681714425,-27.5006036324496,,
60,17,polyline,43,C_SEW_EX GRAVITY SEWER,151.387681714425,-27.5006036324496,,
59,17,point,42,C_SEW_EX MAINTENANCE HOLE,151.387681714425,-27.5006036324496,maintenance_hole,C_SEWER MH
58,17,polyline,36,C_SWD_EX STORMWATER DRAINAGE,151.387681714425,-27.5006036324496,,
57,17,point,33,C_SWD_EX PIT,151.387681714425,-27.5006036324496,maintenance_hole,C_SWD PIT
56,17,polyline,30,C_WAT_EX SERVICE,151.387681714425,-27.5006036324496,,
55,17,polyline,29,C_WAT_EX DRINKING WATER MAIN,151.387681714425,-27.5006036324496,,
54,17,point,28,C_WAT_EX HYDRANT,151.387681714425,-27.5006036324496,hydrant,C - FH
53,17,point,27,C_WAT_EX VALVE,151.387681714425,-27.5006036324496,valve,C - SYSTEM VALVE
52,17,point,26,C_WAT_EX VALVE,151.387681714425,-27.5006036324496,valve,C - SYSTEM VALVE
51,17,polyline,23,1m_CONTOURS,151.387681714425,-27.5006036324496,,
50,26,polyline,6,1m_CONTOURS,152.8509395870155,-26.707909153238802,,
49,10,polyline,19,C_WAT_EX SERVICE,0.0,0.0,,
48,10,polyline,17,C_WAT_EX DRINKING WATER MAIN,0.0,0.0,,
47,10,polyline,16,C_WAT_EX DRINKING WATER MAIN,0.0,0.0,,
46,10,point,5,C_WAT_EX HYDRANT,0.0,0.0,hydrant,C - FH
45,10,point,1,C_WAT_EX VALVE,0.0,0.0,valve,C - SYSTEM VALVE
44,10,point,0,C_WAT_EX VALVE,0.0,0.0,valve,C - SYSTEM VALVE
43,9,polyline,21,C_SEW_EX SERVICE,0.0,0.0,,
42,9,polyline,19,C_SEW_EX RISING MAIN,0.0,0.0,,
41,9,polyline,17,C_SEW_EX GRAVITY SEWER,0.0,0.0,,
40,9,polyline,16,C_SEW_EX GRAVITY SEWER,0.0,0.0,,
39,9,point,4,C_SEW_EX MAINTENANCE HOLE,0.0,0.0,maintenance_hole,C_SWD MH
38,8,polygon,20,C_SWD_EX MAINTENANCE HOLE,153.360152093,-27.96711795,maintenance_hole,C_SWD MH
37,8,polyline,15,C_SWD_EX STORMWATER DRAINAGE,153.360152093,-27.96711795,,
36,7,polyline,7,C_WAT_EX SERVICE,153.368289952,-27.9426458844999,,
35,7,polyline,5,C_WAT_EX RECYCLED WATER MAIN,153.368289952,-27.9426458844999,,
34,7,polyline,4,C_WAT_EX DRINKING WATER MAIN,153.368289952,-27.9426458844999,,
33,7,point,3,C_WAT_EX SERVICE,153.368289952,-27.9426458844999,,
32,7,point,0,C_WAT_EX HYDRANT,153.368289952,-27.9426458844999,hydrant,C - FH
31,6,polyline,7,C_SEW_EX RISING MAIN,153.372656825,-27.9441222675,,
30,6,polyline,6,C_SEW_EX GRAVITY SEWER,153.372656825,-27.9441222675,,
29,6,polyline,5,C_SEW_EX SERVICE,153.372656825,-27.9441222675,,
28,6,polyline,4,C_SEW_EX SERVICE,153.372656825,-27.9441222675,,
27,6,point,1,C_SEW_EX MAINTENANCE HOLE,153.372656825,-27.9441222675,,
26,5,polyline,7,C_EX ELEC OH HV,601.5,1369.1,,
25,5,polyline,6,C_EX ELEC UG HV,601.5,1369.1,,
24,5,polyline,5,C_EX ELEC OH LV,601.5,1369.1,,
23,5,polyline,4,C_EX ELEC UG LV,601.5,1369.1,,
22,5,point,2,C_EX ELEC SUBSTATION,601.5,1369.1,,
21,5,point,1,C_EX ELEC POLES,601.5,1369.1,elec_pole,C - ELEC POLE
20,5,point,0,C_EX ELEC PILLARS,601.5,1369.1,elec_pillar,C - ELEC PILLAR
19,4,polyline,17,C_SWD_EX STORMWATER DRAINAGE,152.9021094873575,-26.708128151154952,,
18,4,polyline,16,C_SWD_EX STORMWATER DRAINAGE,152.9021094873575,-26.708128151154952,,
17,4,point,15,C_SWD_EX STORMWATER DRAINAGE,152.9021094873575,-26.708128151154952,,
16,4,polyline,14,C_SWD_EX STORMWATER DRAINAGE,152.9021094873575,-26.708128151154952,,
15,4,polyline,9,C_SWD_EX STORMWATER DRAINAGE,152.9021094873575,-26.708128151154952,,
14,4,polyline,8,C_SWD_EX STORMWATER DRAINAGE,152.9021094873575,-26.708128151154952,,
13,4,point,7,C_SWD_EX STORMWATER DRAINAGE,152.9021094873575,-26.708128151154952,,
12,4,polyline,6,C_SWD_EX STORMWATER DRAINAGE,152.9021094873575,-26.708128151154952,,
11,3,point,7,C_WAT_EX HYDRANT,644.3,1427.8,hydrant,C - FH
10,3,point,6,C_WAT_EX VALVE,644.3,1427.8,valve,C - SYSTEM VALVE
9,3,point,5,C_WAT_EX VALVE,644.3,1427.8,valve,C - SYSTEM VALVE
8,3,point,4,C_WAT_EX VALVE,644.3,1427.8,valve,C - SYSTEM VALVE
7,3,point,3,C_WAT_EX SERVICE,644.3,1427.8,,
6,3,polyline,10,C_WAT_EX DRINKING WATER MAIN,644.3,1427.8,,
5,2,polyline,12,C_SEW_EX RISING MAIN,644.3,1427.8,,
4,2,polyline,11,C_SEW_EX GRAVITY SEWER,644.3,1427.8,,
3,2,point,5,C_SEW_EX MAINTENANCE HOLE,644.3,1427.8,maintenance_hole,C_SEWER MH
2,1,polygon,9,C_EASEMENT,145.751171671,-19.006432235499986,,
1,1,polygon,8,C_BDY,145.751171671,-19.006432235499986,,
